               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1144,            0.061772,                   0,           0.0081034,             0.45265,            0.010647,           0.0025098,             0.10806,             0.04771,                   0,              0.0973,              0.0003,              0.0003
                   1,              0.1086,             0.07608,                   0,           0.0096552,             0.53933,            0.019296,           0.0045808,            0.099912,            0.051638,                   0,            0.093698,          0.00069769,          0.00069769
                   2,             0.10043,            0.085743,                   0,            0.046831,             0.44623,            0.044415,            0.010883,             0.09312,            0.053432,                   0,            0.090093,           0.0010927,           0.0010927
                   3,            0.094461,            0.077153,                   0,             0.20932,             0.33066,              0.1477,            0.039044,            0.084253,            0.055225,                   0,            0.086485,           0.0014851,           0.0014851
                   4,            0.086088,            0.089906,                   0,             0.39348,             0.42376,             0.32045,            0.090619,            0.075609,            0.053944,                   0,            0.082875,           0.0018749,           0.0018749
                   5,            0.078131,            0.078977,                   0,              0.3831,             0.54093,             0.31951,            0.099575,            0.071537,            0.053249,                   0,            0.079262,           0.0022621,           0.0022621
                   6,            0.074546,            0.070886,                   0,              0.2854,             0.51846,             0.33704,             0.12102,             0.07217,            0.066872,                   0,            0.075647,           0.0026465,           0.0026465
                   7,            0.068963,            0.063286,                   0,             0.31726,             0.64366,             0.35786,             0.10276,            0.065914,            0.068344,                   0,            0.072028,           0.0030284,           0.0030284
                   8,            0.065876,            0.058764,                   0,             0.36653,             0.65755,             0.37959,             0.12009,            0.065599,            0.048735,                   0,            0.068408,           0.0034076,           0.0034076
                   9,            0.061106,            0.050615,                   0,             0.46661,             0.68805,             0.55947,             0.23018,            0.061281,              0.0431,                   0,            0.064784,           0.0037842,           0.0037842
                  10,            0.061341,            0.050214,                   0,             0.44208,             0.72713,             0.54864,             0.22888,            0.065624,            0.040737,                   0,            0.061158,           0.0041581,           0.0041581
                  11,            0.062256,             0.04798,                   0,             0.51162,             0.76005,             0.60159,             0.21161,            0.059371,            0.035694,                   0,            0.057529,           0.0045294,           0.0045294
                  12,            0.063098,            0.045515,                   0,             0.58012,             0.72962,             0.67057,             0.33913,            0.061676,            0.033743,                   0,            0.053898,            0.004898,            0.004898
                  13,            0.060028,            0.047404,                   0,             0.47294,             0.77368,             0.51493,             0.22044,            0.065238,            0.031563,                   0,            0.050264,            0.005264,            0.005264
                  14,            0.063338,            0.046814,                   0,             0.49055,             0.73676,             0.57805,             0.23948,              0.0564,            0.029476,                   0,            0.046627,           0.0056274,           0.0056274
                  15,            0.061855,             0.04372,                   0,             0.51172,             0.70947,             0.62512,             0.22654,            0.062399,            0.028542,                   0,            0.042988,           0.0059881,           0.0059881
                  16,            0.061674,            0.045597,                   0,             0.54307,             0.70205,               0.628,             0.21914,             0.07061,            0.028883,                   0,            0.039346,           0.0063462,           0.0063462
                  17,            0.065185,            0.042464,                   0,             0.38258,             0.53772,             0.45091,             0.15467,            0.070878,            0.028986,                   0,            0.035702,           0.0067017,           0.0067017
                  18,            0.062716,            0.044789,                   0,             0.49287,             0.70355,             0.59144,             0.25071,            0.062233,            0.026749,                   0,            0.032054,           0.0070545,           0.0070545
                  19,            0.062376,             0.03715,                   0,             0.47135,              0.5923,             0.52968,             0.19881,            0.060277,            0.026375,                   0,            0.028405,           0.0074047,           0.0074047
                  20,            0.060256,            0.041279,                   0,             0.35312,             0.77528,             0.43807,             0.18415,            0.065383,            0.028835,                   0,            0.024752,           0.0077522,           0.0077522
                  21,            0.062683,            0.042008,                   0,             0.59806,             0.75234,             0.71765,             0.27575,            0.063672,            0.026567,                   0,            0.021097,           0.0080971,           0.0080971
                  22,            0.061688,            0.040776,                   0,             0.58637,             0.60073,             0.68451,             0.31542,            0.058754,            0.024137,                   0,            0.017439,           0.0084393,           0.0084393
                  23,            0.058896,            0.035683,                   0,             0.63025,              0.7512,             0.75987,             0.37996,             0.06047,            0.024193,                   0,            0.013779,            0.008779,            0.008779
                  24,            0.057111,            0.042057,                   0,             0.51327,              0.8074,             0.61652,              0.2557,            0.053697,            0.027094,                   0,            0.010116,           0.0091159,           0.0091159
                  25,            0.053117,            0.039154,                   0,             0.58959,             0.84912,              0.7935,             0.33436,               0.058,               0.028,                   0,            0.009175,            0.009175,            0.009175
                  26,            0.054499,            0.040417,                   0,             0.54462,             0.75636,              0.7075,             0.36291,             0.05263,            0.024591,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.048969,            0.044629,                   0,             0.55707,             0.90843,             0.82935,             0.35496,            0.057725,            0.032745,                   0,            0.009142,            0.009142,            0.009142
                  28,             0.05016,            0.038575,                   0,             0.64156,             0.88604,             0.86538,             0.40629,            0.048003,            0.025604,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.050748,            0.035887,                   0,             0.78309,             0.85072,              0.9092,             0.45171,             0.04439,            0.023061,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.044254,            0.039412,                   0,             0.63618,             0.89888,             0.88449,             0.43657,            0.043635,            0.026003,                   0,            0.009043,            0.009043,            0.009043
                  31,             0.04315,            0.035477,                   0,             0.61647,               0.939,             0.74445,             0.32987,            0.044503,            0.027441,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.043046,             0.03615,                   0,             0.68547,             0.94382,             0.85139,             0.45015,            0.041572,             0.02401,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.044881,            0.038324,                   0,             0.79328,             0.93629,             0.93703,             0.61516,            0.037917,            0.021473,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.039626,            0.033174,                   0,             0.63427,             0.92295,             0.84049,             0.51268,            0.043428,            0.023045,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.040845,            0.032751,                   0,             0.82626,             0.93128,             0.92693,              0.5795,            0.038251,            0.022211,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.038351,            0.033176,                   0,             0.79318,             0.92616,             0.93841,              0.6274,            0.038395,              0.0219,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.038347,            0.033322,                   0,             0.79041,             0.93829,             0.94121,             0.63788,            0.038339,            0.020577,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.038188,            0.037153,                   0,             0.62065,             0.95185,             0.79717,             0.46818,            0.044997,            0.022612,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.038679,            0.037372,                   0,             0.61503,             0.95651,             0.78654,             0.50022,            0.040005,            0.023727,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.038004,            0.030929,                   0,              0.6881,             0.93258,             0.88872,             0.62566,            0.038528,            0.021141,                   0,            0.008713,            0.008713,            0.008713
